,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
954,2018,1579mm,Silver,45333,Manual,390000.0,Hatchback,3679mm,Renault,Petrol,chennai,5.0,Renault KWID,1,Comprehensive,999
955,2018,1660mm,Red,63670,Manual,480000.0,Hatchback,3765mm,Hyundai,Diesel,chennai,5.0,Hyundai Grand i10,1,Third Party insurance,1186
956,2013,1695mm,Grey,95535,Manual,455000.0,Hatchback,3850mm,Maruti,Diesel,chennai,5.0,Maruti Swift,1,Comprehensive,1248
957,2016,1830mm,Brown,175000,Automatic,1750000.0,MUV,4735mm,Toyota,Diesel,chennai,7.0,Toyota Innova Crysta,1,Comprehensive,2755
958,2015,1682mm,Others,80000,Manual,520000.0,Hatchback,3971mm,Volkswagen,Diesel,chennai,5.0,Volkswagen Polo,2,Third Party insurance,1498
959,2020,1830mm,White,55500,Automatic,2625000.0,MUV,4735mm,Toyota,Diesel,chennai,7.0,Toyota Innova Crysta,1,Comprehensive,2393
960,2017,1734mm,Silver,42375,Manual,782000.0,SUV,3999mm,Honda,Petrol,chennai,5.0,Honda WR-V,2,Third Party insurance,1199
961,2018,1660mm,Silver,63155,Manual,611000.0,Sedan,3995mm,Hyundai,Diesel,chennai,5.0,Hyundai Xcent,2,Third Party insurance,1186
962,2015,1840mm,White,85000,Manual,1700000.0,SUV,4705mm,Toyota,Diesel,chennai,7.0,Toyota Fortuner,2,Comprehensive,2982
963,2014,1695mm,Silver,106121,Manual,515000.00000000006,Sedan,3995mm,Maruti,Diesel,chennai,5.0,Maruti Swift Dzire,1,Third Party,1248
964,2022,1735,Others,51012,Manual,679000.0,Hatchback,3845mm,Maruti,Petrol,chennai,5.0,Maruti Swift,1,Comprehensive,1197
